LinkItemsToUMLSCUIID	ItemPTR	CUI	ItemToUMLSCUILinkTypePTR
431	2533	C0008350	0
5302	2533	C0151824	0
4622	2533	C0242216	0
11700	2533	C0947622	0
432	2546	C0008354	0
434	2549	C0022356	0
17066	2549	C0008372	0
435	2553	C0008373	0
436	2553	C0155490	0
9778	2565	C0342474	0
438	2567	C0149649	0
439	2567	C0264980	0
440	2584	C0008402	0
7736	2592	C0008449	0
7735	2592	C0013366	0
441	2592	C0343284	0
12690	2592	C0542428	0
442	2595	C0008475	0
443	2597	C0008479	0
15607	2597	C3540851	0
444	2602	C0008497	0
445	2610	C0008509	0
446	2613	C0008513	0
447	2613	C0008526	0
8009	2614	C0220633	0
448	2614	C0346388	0
449	2619	C0008525	0
450	2621	C0008574	0
452	2625	C0268093	0
453	2627	C0031048	0
454	2627	C0265144	0
455	2633	C0018203	0
456	2636	C0238304	0
10203	2641	C0023434	0
458	2659	C0023473	0
5711	2672	C0008677	0
459	2672	C0024117	0
460	2685	C0008728	0
6071	2704	C0878550	0
17461	2704	C1535978	0
461	2705	C0008783	0
11212	2705	C0304539	0
462	2708	C0008809	0
11213	2708	C0282104	0
11429	2708	C0771046	0
463	2724	C0008819	0
464	2726	C0266770	0
465	2729	C0023890	0
11609	2729	C0341446	0
15530	2729	C0239946	0
466	2760	C0072916	0
11168	2760	C0724554	0
467	2764	C0008838	0
6075	2769	C0878551	0
12763	2777	C1456822	0
468	2786	C0206681	0
469	2788	C0008947	0
11398	2788	C0282105	0
11430	2788	C0055881	0
13459	2788	C0055880	0
470	2791	C0009002	0
471	2797	C0009008	0
9917	2797	C0546859	0
11214	2797	C0887760	0
472	2802	C0009014	0
11215	2802	C0546860	0
473	2809	C0070166	0
9082	2809	C0772326	0
5245	2811	C0006057	0
475	2811	C0009055	0
476	2820	C0014358	0
477	2820	C0079134	0
11649	2820	C1257843	0
41065	2820	C1411966	0
41123	2820	C0238106	0
478	2826	C0315096	0
479	2829	C0009064	0
480	2829	C0039614	0
4669	2829	C0039617	0
481	2837	C0009063	0
482	2844	C0009079	0
5492	2847	C0009080	0
483	2847	C0149651	0
8202	2847	C0263538	0
8203	2847	C0558448	0
17848	2847	C3887489	0
484	2850	C0009088	0
485	2858	C0152179	0
486	2859	C0152180	0
487	2860	C0029132	0
34695	2860	C4552948	0
7711	2861	C0028866	0
488	2861	C0271353	0
14341	2866	C0271375	0
490	2867	C0152177	0
7664	2868	C0161407	0
491	2868	C0271355	0
34898	2868	C4551519	0
492	2869	C0015464	0
493	2869	C0015469	0
4419	2874	C0001163	0
495	2874	C0018784	0
6927	2874	C0494563	0
10848	2874	C0235280	0
11147	2874	C0553861	0
11500	2874	C0155550	0
42180	2874	C4759840	0
7247	2875	C0751941	0
498	2876	C0003492	0
499	2882	C0009148	0
13438	2882	C0056026	0
13439	2882	C1720464	0
500	2885	C0009170	0
501	2885	C0274659	0
11217	2885	C0282108	0
502	2899	C0009183	0
503	2899	C0009186	0
5517	2899	C0153257	0
15256	2899	C1299919	0
504	2907	C0009207	0
505	2919	C0009217	0
506	2922	C0007570	0
507	2934	C0265252	0
508	2938	C0009262	0
509	2949	C0056097	0
12365	2949	C0175816	0
510	2955	C0238067	0
15017	2955	C0400821	0
15018	2955	C0400822	0
511	2959	C0009353	0
512	2963	C0085411	0
8482	2963	C0267370	0
513	2964	C0334292	0
14933	2964	C1112503	0
514	2968	C0206674	0
11586	2968	C0149862	0
515	2975	C0009402	0
517	2975	C0149978	0
518	2975	C0699790	0
15085	2975	C0346629	0
15608	2975	C3542412	0
41039	2975	C4722085	0
42203	2975	C0009404	0
519	2999	C0009398	0
9421	2999	C0242225	0
11045	2999	C0858618	0
520	3000	C0009906	0
521	3028	C0009492	0
522	3036	C0009498	0
523	3037	C0016662	0
524	3042	C0149654	0
525	3043	C0018777	0
526	3044	C0195324	0
527	3048	C0162530	0
14194	3048	C2718078	0
529	3054	C0345408	0
7770	3054	C0542418	0
41022	3054	C0265999	0
531	3056	C0019555	0
7619	3056	C0431952	0
10707	3056	C1306065	0
17869	3056	C1328407	0
34823	3056	C4551649	0
532	3061	C0699743	0
533	3066	C0007193	0
534	3067	C0009763	0
34657	3067	C4553305	0
535	3073	C0009777	0
10257	3073	C1384514	0
536	3080	C0009806	0
7886	3083	C0848070	0
17069	3083	C1277586	0
537	3087	C0002875	0
538	3094	C0268070	0
3986	3101	C0056301	0
7261	3101	C0274865	0
8527	3101	C0274928	0
540	3101	C0589328	0
541	3108	C0010032	0
542	3110	C0010038	0
543	3111	C0010055	0
544	3115	C0340648	0
6138	3118	C0878552	0
17081	3118	C1272589	0
545	3120	C0010132	0
19297	3120	C0772289	0
546	3122	C0010150	0
547	3122	C0012546	0
4467	3137	C0010207	0
549	3139	C0349374	0
12640	3142	C0950042	0
17615	3142	C4049886	0
551	3144	C0010243	0
8226	3144	C0318388	0
12711	3144	C0950043	0
552	3151	C0026821	0
553	3153	C0010276	0
34831	3153	C0278875	0
34848	3153	C0278652	0
554	3160	C0010278	0
555	3164	C0010287	0
556	3165	C0403416	0
24515	3165	C0221239	0
557	3166	C0022336	0
558	3176	C0010324	0
559	3178	C0010346	0
560	3178	C0678202	0
